ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9896397,HX546644,12/17/2014 11:00:00 PM,019XX N NEWLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2513,025,36,25,07,1129745,1911932,2014,12/24/2014 12:48:14 PM,41.914623236,-87.798771555,"(41.914623236, -87.798771555)"
9896139,HX546563,12/17/2014 11:00:00 PM,102XX S HOXIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0431,004,10,51,14,1195117,1837703,2014,12/24/2014 12:48:14 PM,41.70956606,-87.561057416,"(41.70956606, -87.561057416)"
9897095,HX547388,12/17/2014 11:00:00 PM,036XX W 113TH ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,2211,022,19,74,06,1153804,1829382,2014,12/24/2014 12:48:14 PM,41.687648818,-87.712571519,"(41.687648818, -87.712571519)"
9902089,HX552474,12/17/2014 11:00:00 PM,053XX S CALUMET AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,0231,002,3,40,26,1179351,1869629,2014,12/24/2014 12:48:14 PM,41.797548103,-87.617821708,"(41.797548103, -87.617821708)"
9895926,HX546348,12/17/2014 10:58:00 PM,047XX W VAN BUREN ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1131,011,24,25,04B,1144965,1897649,2014,12/24/2014 12:48:14 PM,41.875155143,-87.743215541,"(41.875155143, -87.743215541)"
9895960,HX546319,12/17/2014 10:56:00 PM,061XX S ELIZABETH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0713,007,16,67,04A,1169012,1864299,2014,12/24/2014 12:48:14 PM,41.783151859,-87.655890251,"(41.783151859, -87.655890251)"
9895866,HX546331,12/17/2014 10:51:00 PM,052XX S SAWYER AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,0822,008,14,63,18,1155650,1869366,2014,12/24/2014 12:48:14 PM,41.797334874,-87.704744199,"(41.797334874, -87.704744199)"
9895925,HX546342,12/17/2014 10:45:00 PM,027XX W 51ST ST,0860,THEFT,RETAIL THEFT,GAS STATION,true,false,0923,009,14,63,06,1159134,1870776,2014,12/24/2014 12:48:14 PM,41.801133479,-87.691929225,"(41.801133479, -87.691929225)"
9895905,HX546340,12/17/2014 10:45:00 PM,014XX E 71ST PL,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0324,003,5,43,06,1187372,1857921,2014,12/24/2014 12:48:14 PM,41.76523343,-87.588779677,"(41.76523343, -87.588779677)"
9895875,HX546321,12/17/2014 10:45:00 PM,034XX W 71ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0831,008,18,66,07,1154478,1857274,2014,12/24/2014 12:48:14 PM,41.764176045,-87.709363893,"(41.764176045, -87.709363893)"
9895928,HX546390,12/17/2014 10:45:00 PM,045XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,011,28,26,16,1145861,1899665,2014,12/24/2014 12:48:14 PM,41.880670336,-87.739874572,"(41.880670336, -87.739874572)"
9895888,HX546338,12/17/2014 10:45:00 PM,079XX S HALSTED ST,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,true,false,0621,006,17,71,18,1172386,1852212,2014,12/24/2014 12:48:14 PM,41.749910056,-87.64387531,"(41.749910056, -87.64387531)"
9895952,HX546318,12/17/2014 10:40:00 PM,010XX W BRYN MAWR AVE,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,true,false,2023,020,48,77,08B,1168089,1937326,2014,12/24/2014 12:48:14 PM,41.98356321,-87.657164699,"(41.98356321, -87.657164699)"
9895870,HX546328,12/17/2014 10:38:00 PM,042XX W NELSON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,2523,025,31,20,26,1147014,1919975,2014,12/24/2014 12:48:14 PM,41.936381101,-87.735120702,"(41.936381101, -87.735120702)"
9895867,HX546316,12/17/2014 10:35:00 PM,033XX N KILPATRICK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1731,017,30,15,08B,1144549,1921963,2014,12/24/2014 12:48:14 PM,41.941883198,-87.744129727,"(41.941883198, -87.744129727)"
9899047,HX549433,12/17/2014 10:30:00 PM,052XX S SAWYER AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0822,008,14,63,05,1155649,1869384,2014,12/24/2014 12:48:14 PM,41.797384288,-87.704747384,"(41.797384288, -87.704747384)"
9895957,HX546310,12/17/2014 10:30:00 PM,025XX N NEWLAND AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,true,2512,025,36,18,26,1129626,1915919,2014,12/24/2014 12:48:14 PM,41.925566105,-87.799117505,"(41.925566105, -87.799117505)"
9895907,HX546334,12/17/2014 10:30:00 PM,074XX S EVANS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0323,003,6,69,08B,1182469,1855989,2014,12/24/2014 12:48:14 PM,41.760046884,-87.606810263,"(41.760046884, -87.606810263)"
9896865,HX547072,12/17/2014 10:30:00 PM,052XX S HARPER AVE,0810,THEFT,OVER $500,STREET,false,false,0234,002,4,41,06,1187224,1870656,2014,12/24/2014 12:48:14 PM,41.80018281,-87.588918029,"(41.80018281, -87.588918029)"
9895881,HX546323,12/17/2014 10:25:00 PM,011XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1231,012,2,28,08B,1166585,1895258,2014,12/24/2014 12:48:14 PM,41.868158716,-87.66390401,"(41.868158716, -87.66390401)"
9895904,HX546326,12/17/2014 10:17:00 PM,100XX S CALUMET AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0511,005,9,49,24,1180399,1838198,2014,12/24/2014 12:48:14 PM,41.711273991,-87.614941025,"(41.711273991, -87.614941025)"
9895945,HX546304,12/17/2014 10:15:00 PM,040XX W ADDISON ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1731,017,30,16,04B,1149040,1923590,2014,12/24/2014 12:48:14 PM,41.946261925,-87.727580985,"(41.946261925, -87.727580985)"
9895865,HX546307,12/17/2014 10:15:00 PM,102XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0511,005,9,49,18,1178019,1837100,2014,12/24/2014 12:48:14 PM,41.708315088,-87.623690225,"(41.708315088, -87.623690225)"
9895823,HX546292,12/17/2014 10:15:00 PM,041XX W WILCOX ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1115,011,28,26,18,1148702,1899052,2014,12/24/2014 12:48:14 PM,41.878933812,-87.729458405,"(41.878933812, -87.729458405)"
9895932,HX546315,12/17/2014 10:10:00 PM,106XX S KEDZIE AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,2211,022,19,74,03,1156852,1834080,2014,12/24/2014 12:48:14 PM,41.700480199,-87.701286793,"(41.700480199, -87.701286793)"
9895871,HX546303,12/17/2014 10:00:00 PM,010XX N LAWNDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1112,011,27,23,14,1151487,1906591,2014,12/24/2014 12:48:14 PM,41.899567381,-87.719034151,"(41.899567381, -87.719034151)"
9896951,HX547197,12/17/2014 10:00:00 PM,025XX E 76TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0421,004,7,43,14,1194626,1855106,2014,12/24/2014 12:48:14 PM,41.757333481,-87.562284547,"(41.757333481, -87.562284547)"
9896806,HX546987,12/17/2014 10:00:00 PM,052XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,1634,016,30,15,06,1140631,1920807,2014,12/24/2014 12:48:14 PM,41.938784017,-87.758558717,"(41.938784017, -87.758558717)"
9895964,HX546289,12/17/2014 10:00:00 PM,056XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,false,false,1513,015,29,25,03,1138875,1899420,2014,12/24/2014 12:48:14 PM,41.880127722,-87.765532874,"(41.880127722, -87.765532874)"
9895872,HX546283,12/17/2014 10:00:00 PM,046XX W NORTH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,2533,025,37,25,06,1144852,1910261,2014,12/24/2014 12:48:14 PM,41.909766043,-87.743312011,"(41.909766043, -87.743312011)"
9896134,HX546491,12/17/2014 10:00:00 PM,019XX S THROOP ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1235,012,25,31,14,1167971,1890637,2014,12/24/2014 12:48:14 PM,41.855448532,-87.65894901,"(41.855448532, -87.65894901)"
9898780,HX549161,12/17/2014 10:00:00 PM,066XX S STATE ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,0312,003,20,69,06,1177452,1861364,2014,12/24/2014 12:48:14 PM,41.774911275,-87.62503525,"(41.774911275, -87.62503525)"
9896053,HX546507,12/17/2014 10:00:00 PM,034XX N KOLMAR AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1731,017,30,16,06,1145469,1922765,2014,12/24/2014 12:48:14 PM,41.944066555,-87.740727921,"(41.944066555, -87.740727921)"
9897007,HX547276,12/17/2014 10:00:00 PM,0000X S CENTRAL AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,1513,015,29,25,06,1139022,1899281,2014,12/24/2014 12:48:14 PM,41.879743618,-87.764996479,"(41.879743618, -87.764996479)"
